//SeaDataNet ODV PHYSICOCHEMICAL profile - Generated by Nemo 1.7.3 - 2022-05-25 14:53:46+0200
//
//<sdn_reference xlink:href="https://seadata.bsh.de/cgi-csr/XML/xmlDownload_V2.pl?csrref=20213136" xlink:role="isObservedBy" xlink:type="SDN:L23::CSR"/>
//<sdn_reference xlink:href="https://www.seadatanet.org/urnurl/SDN:C17::64PE" xlink:role="isObservedBy" xlink:type="SDN:L23::NVS2CON"/>
//<sdn_reference xlink:href="https://cdi.seadatanet.org/report/edmo/120/496235/v1/xml" xlink:role="isDescribedBy" xlink:type="SDN:L23::CDI" sdn:scope="120:496235" />
//SDN_parameter_mapping
//<subject>SDN:LOCAL:ADEPZZ01</subject><object>SDN:P01::ADEPZZ01</object><units>SDN:P06::ULAA</units>
//<subject>SDN:LOCAL:SampleID</subject><object>SDN:P01::SAMPID01</object><units>SDN:P06::XXXX</units>
//<subject>SDN:LOCAL:TEMPS901</subject><object>SDN:P01::TEMPS901</object><units>SDN:P06::UPAA</units>
//<subject>SDN:LOCAL:POTMCV01</subject><object>SDN:P01::POTMCV01</object><units>SDN:P06::UPAA</units>
//<subject>SDN:LOCAL:CNDCST01</subject><object>SDN:P01::CNDCST01</object><units>SDN:P06::MSCM</units>
//<subject>SDN:LOCAL:PRESPR01</subject><object>SDN:P01::PRESPR01</object><units>SDN:P06::UPDB</units>
//<subject>SDN:LOCAL:PSALST01</subject><object>SDN:P01::PSALST01</object><units>SDN:P06::UUUU</units>
//<subject>SDN:LOCAL:SIGTPR01</subject><object>SDN:P01::SIGTPR01</object><units>SDN:P06::UKMC</units>
//<subject>SDN:LOCAL:FLUOZZZZ</subject><object>SDN:P01::FLUOZZZZ</object><units>SDN:P06::UUUU</units>
//<subject>SDN:LOCAL:ATTNZS01</subject><object>SDN:P01::ATTNZS01</object><units>SDN:P06::UPRM</units>
//<subject>SDN:LOCAL:TURBXXXX</subject><object>SDN:P01::TURBXXXX</object><units>SDN:P06::USTU</units>
//<subject>SDN:LOCAL:SIGTEQST</subject><object>SDN:P01::SIGTEQST</object><units>SDN:P06::UKMC</units>
//<subject>SDN:LOCAL:POTMCV02</subject><object>SDN:P01::POTMCV02</object><units>SDN:P06::UPAA</units>
//<subject>SDN:LOCAL:PSALST02</subject><object>SDN:P01::PSALST02</object><units>SDN:P06::UUUU</units>
//
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	ADEPZZ01 [Metres]	QV:SEADATANET	SampleID:INDEXED_TEXT	QV:SEADATANET	TEMPS901 [Degrees Celsius]	QV:SEADATANET	POTMCV01 [Degrees Celsius]	QV:SEADATANET	CNDCST01 [MilliSiemens per centimetre]	QV:SEADATANET	PRESPR01 [Decibars]	QV:SEADATANET	PSALST01 [Dimensionless]	QV:SEADATANET	SIGTPR01 [Kilograms per cubic metre]	QV:SEADATANET	FLUOZZZZ [Dimensionless]	QV:SEADATANET	ATTNZS01 [per metre]	QV:SEADATANET	TURBXXXX [Nephelometric Turbidity Units]	QV:SEADATANET	SIGTEQST [Kilograms per cubic metre]	QV:SEADATANET	POTMCV02 [Degrees Celsius]	QV:SEADATANET	 [Dimensionless]	QV:SEADATANET
iMAR 2021/Eurofleets+	496235	C	2021-05-16T17:49:00.000	-26.9845	38.6145	496235	120	515.0	3	0	iMAR_2021_St00	0	17.8010	0	17.8004	0	46.96715	0	3.023	0	36.0902	0	26.1568	0	0.1856	0	74.0436	0	4.077	0	26.157	0	17.8004	0	36.0902	0
									4	0	iMAR_2021_St00	0	17.8035	0	17.8028	0	46.97017	0	4.030	0	36.0901	0	26.1561	0	0.1836	0	74.2568	0	4.043	0	26.156	0	17.8028	0	36.0901	0
									5	0	iMAR_2021_St00	0	17.8039	0	17.8031	0	46.97119	0	5.038	0	36.0902	0	26.1561	0	0.1824	0	74.2094	0	4.003	0	26.156	0	17.8030	0	36.0903	0
									6	0	iMAR_2021_St00	0	17.8052	0	17.8041	0	46.97283	0	6.046	0	36.0901	0	26.1558	0	0.1807	0	74.2453	0	3.984	0	26.156	0	17.8041	0	36.0902	0
									7	0	iMAR_2021_St00	0	17.8060	0	17.8048	0	46.97382	0	7.053	0	36.0898	0	26.1554	0	0.1850	0	74.2127	0	3.947	0	26.155	0	17.8048	0	36.0899	0
									8	0	iMAR_2021_St00	0	17.8062	0	17.8048	0	46.97506	0	8.061	0	36.0903	0	26.1558	0	0.2039	0	74.3305	0	3.925	0	26.156	0	17.8048	0	36.0904	0
									9	0	iMAR_2021_St00	0	17.8045	0	17.8029	0	46.97373	0	9.069	0	36.0904	0	26.1563	0	0.2150	0	74.3775	0	3.904	0	26.156	0	17.8029	0	36.0904	0
									10	0	iMAR_2021_St00	0	17.8028	0	17.8011	0	46.97242	0	10.076	0	36.0904	0	26.1567	0	0.2313	0	74.3934	0	3.889	0	26.156	0	17.8011	0	36.0904	0
									11	0	iMAR_2021_St00	0	17.7981	0	17.7962	0	46.96870	0	11.084	0	36.0911	0	26.1585	0	0.2473	0	74.3945	0	3.875	0	26.158	0	17.7962	0	36.0909	0
									12	0	iMAR_2021_St00	0	17.7673	0	17.7653	0	46.93850	0	12.091	0	36.0926	0	26.1673	0	0.2493	0	74.3459	0	3.869	0	26.166	0	17.7652	0	36.0918	0
									13	0	iMAR_2021_St00	0	17.7357	0	17.7333	0	46.90801	0	13.099	0	36.0948	0	26.1768	0	0.3101	0	74.3042	0	3.825	0	26.175	0	17.7334	0	36.0932	0
									14	0	iMAR_2021_St00	0	17.6812	0	17.6788	0	46.85178	0	14.107	0	36.0951	0	26.1905	0	0.3291	0	74.2877	0	3.811	0	26.188	0	17.6788	0	36.0927	0
									15	0	iMAR_2021_St00	0	17.6451	0	17.6426	0	46.81419	0	15.114	0	36.0946	0	26.1990	0	0.3444	0	74.1907	0	3.809	0	26.196	0	17.6426	0	36.0918	0
									16	0	iMAR_2021_St00	0	17.6080	0	17.6052	0	46.77840	0	16.122	0	36.0967	0	26.2098	0	0.4142	0	74.0722	0	3.797	0	26.207	0	17.6053	0	36.0935	0
									17	0	iMAR_2021_St00	0	17.4981	0	17.4952	0	46.66957	0	17.130	0	36.1019	0	26.2406	0	0.4702	0	73.8519	0	3.793	0	26.236	0	17.4952	0	36.0967	0
									18	0	iMAR_2021_St00	0	17.4315	0	17.4284	0	46.59754	0	18.137	0	36.0991	0	26.2548	0	0.5044	0	73.6464	0	3.787	0	26.249	0	17.4284	0	36.0931	0
